top,lat,lon,humidity,temp,accel,dust
$data,50.843009,4.323311,25.40,26.30,0.00,159
$data,50.843090,4.323427,25.60,26.30,0.00,164
$data,50.843181,4.323533,25.60,26.20,0.05,154
$data,50.843269,4.323658,25.80,26.20,0.05,134
$data,50.843376,4.323790,25.70,26.20,0.05,170
$data,50.843471,4.323915,25.60,26.10,0.10,187
$data,50.843570,4.324042,25.50,26.10,0.05,156
$data,50.843612,4.324109,25.50,26.10,0.25,155
$data,50.843662,4.324180,25.50,26.10,0.05,121
$data,50.843700,4.324240,25.50,26.10,0.20,162
$data,50.843750,4.324296,25.50,26.10,0.05,156
$data,50.843807,4.324357,25.50,26.10,0.05,166
$data,50.843864,4.324415,25.50,26.00,0.05,132
$data,50.843906,4.324469,25.50,26.00,0.05,137
$data,50.843944,4.324520,25.50,26.00,0.15,156
$data,50.843986,4.324575,25.50,26.00,0.10,161
$data,50.844028,4.324652,25.60,26.00,0.10,184
$data,50.844074,4.324718,25.60,26.00,0.25,160
$data,50.844116,4.324786,25.50,26.00,0.20,175
$data,50.844165,4.324858,25.50,26.00,0.20,337
$data,50.844215,4.324932,25.40,26.00,0.30,179
$data,50.844253,4.325000,25.40,26.00,0.10,161
$data,50.844303,4.325073,25.30,26.00,0.10,133
$data,50.844352,4.325150,25.30,26.00,0.20,166
$data,50.844402,4.325227,25.30,25.90,0.05,165
$data,50.844448,4.325322,25.30,25.90,0.00,137
$data,50.844497,4.325427,25.40,25.90,0.15,158
$data,50.844532,4.325523,25.40,25.90,0.05,180
$data,50.844524,4.325595,25.60,25.90,0.10,148
$data,50.844562,4.325680,25.60,25.90,0.50,71
$data,50.844612,4.325761,25.60,25.90,0.15,168
$data,50.844661,4.325835,25.60,25.90,0.30,127
$data,50.844711,4.325905,25.60,25.80,0.05,132
$data,50.844749,4.325968,25.60,25.80,0.20,218
$data,50.844791,4.326036,25.60,25.80,0.05,133
$data,50.844825,4.326103,25.60,25.80,0.10,168
$data,50.844863,4.326188,25.50,25.80,0.05,154
$data,50.844913,4.326255,25.40,25.70,0.00,174
$data,50.844955,4.326313,25.40,25.70,0.00,142
$data,50.845005,4.326365,25.40,25.70,0.10,101
